1,sadmin,sadmin,John,Wayne,010-2342-6332,1
2,admin1,admin1,Susan,Schwartz,010-8998-1235,0
3,admin2,admin2,Bobby,Chandler,010-5678-3487,0
4,admin3,admin3,Michael,French,010-8732-1124,0
5,admin4,admin4,Justin,Todd,010-0911-0001,0
6,admin5,admin5,Aeron,Bryan,010-9930-4572,0
7,admin6,admin6,Patrick,Hunter,010-2389-9020,0
8,admin7,admin7,Spencer,Stephens,010-1112-2112,0
9,admin8,admin8,Sue,Sanders,010-9392-3911,0
10,admin9,admin9,Jo,Curry,010-0021-3316,0
11,admin10,admin10,Otis,Castillo,010-9222-2342,0
